future_turn,event,full_history_model_input_tokens,compact_model_input_tokens,compact_verification_runtime_micros,recompaction_count,rehydration_count,full_history_total_usd_micros,compact_total_usd_micros,compact_savings_usd_micros
1,ordinary,10468,1653,100000,0,0,26170,504133,-477963
2,ordinary,20936,3306,100000,0,0,52340,508265,-455925
3,ordinary,31404,4959,100000,0,0,78510,512398,-433888
4,ordinary,41872,6612,100000,0,0,104680,516530,-411850
5,ordinary,52340,8265,100000,0,0,130850,520663,-389813
6,ordinary,62808,9918,100000,0,0,157020,524795,-367775
7,ordinary,73276,11571,100000,0,0,183190,528928,-345738
8,ordinary,83744,13224,100000,0,0,209360,533060,-323700
9,ordinary,94212,14877,100000,0,0,235530,537193,-301663
10,ordinary,104680,16530,100000,0,0,261700,541325,-279625
11,ordinary,115148,18183,100000,0,0,287870,545458,-257588
12,ordinary,125616,19836,100000,0,0,314040,549590,-235550
13,ordinary,136084,21489,100000,0,0,340210,553723,-213513
14,ordinary,146552,23142,100000,0,0,366380,557855,-191475
15,ordinary,157020,24795,100000,0,0,392550,561988,-169438
16,ordinary,167488,26448,100000,0,0,418720,566120,-147400
17,ordinary,177956,28101,100000,0,0,444890,570253,-125363
18,ordinary,188424,29754,100000,0,0,471060,574385,-103325
19,ordinary,198892,31407,100000,0,0,497230,578518,-81288
20,ordinary,209360,33060,100000,0,0,523400,582650,-59250
21,ordinary,219828,34713,100000,0,0,549570,586783,-37213
22,ordinary,230296,36366,100000,0,0,575740,590915,-15175
23,ordinary,240764,38019,100000,0,0,601910,595048,6862
24,ordinary,251232,39672,100000,0,0,628080,599180,28900
25,ordinary,261700,41325,100000,0,0,654250,603313,50937
26,ordinary,272168,42978,100000,0,0,680420,607445,72975
27,ordinary,282636,44631,100000,0,0,706590,611578,95012
28,ordinary,293104,46284,100000,0,0,732760,615710,117050
29,ordinary,303572,47937,100000,0,0,758930,619843,139087
30,ordinary,314040,49590,100000,0,0,785100,623975,161125
31,ordinary,324508,51243,100000,0,0,811270,628108,183162
32,ordinary,334976,52896,100000,0,0,837440,632240,205200
33,ordinary,345444,54549,100000,0,0,863610,636373,227237
34,ordinary,355912,56202,100000,0,0,889780,640505,249275
35,ordinary,366380,57855,100000,0,0,915950,644638,271312
36,ordinary,376848,59508,100000,0,0,942120,648770,293350
37,ordinary,387316,61161,100000,0,0,968290,652903,315387
38,ordinary,397784,62814,100000,0,0,994460,657035,337425
39,ordinary,408252,64467,100000,0,0,1020630,661168,359462
40,ordinary,418720,66120,100000,0,0,1046800,665300,381500
41,ordinary,429188,67773,100000,0,0,1072970,669433,403537
42,ordinary,439656,69426,100000,0,0,1099140,673565,425575
43,ordinary,450124,71079,100000,0,0,1125310,677698,447612
44,ordinary,460592,72732,100000,0,0,1151480,681830,469650
45,ordinary,471060,74385,100000,0,0,1177650,685963,491687
46,ordinary,481528,76038,100000,0,0,1203820,690095,513725
47,ordinary,491996,77691,100000,0,0,1229990,694228,535762
48,ordinary,502464,79344,100000,0,0,1256160,698360,557800
49,ordinary,512932,80997,100000,0,0,1282330,702493,579837
50,ordinary,523400,82650,100000,0,0,1308500,706625,601875
51,ordinary,533868,84303,100000,0,0,1334670,710758,623912
52,ordinary,544336,85956,100000,0,0,1360840,714890,645950
53,ordinary,554804,87609,100000,0,0,1387010,719023,667987
54,ordinary,565272,89262,100000,0,0,1413180,723155,690025
55,ordinary,575740,90915,100000,0,0,1439350,727288,712062
56,ordinary,586208,92568,100000,0,0,1465520,731420,734100
57,ordinary,596676,94221,100000,0,0,1491690,735553,756137
58,ordinary,607144,95874,100000,0,0,1517860,739685,778175
59,ordinary,617612,97527,100000,0,0,1544030,743818,800212
60,recompaction,628080,99180,200000,1,0,1570200,1147950,422250
61,ordinary,638548,100833,200000,1,0,1596370,1152083,444287
62,ordinary,649016,102486,200000,1,0,1622540,1156215,466325
63,ordinary,659484,104139,200000,1,0,1648710,1160348,488362
64,ordinary,669952,105792,200000,1,0,1674880,1164480,510400
65,ordinary,680420,107445,200000,1,0,1701050,1168613,532437
66,ordinary,690888,109098,200000,1,0,1727220,1172745,554475
67,ordinary,701356,110751,200000,1,0,1753390,1176878,576512
68,ordinary,711824,112404,200000,1,0,1779560,1181010,598550
69,ordinary,722292,114057,200000,1,0,1805730,1185143,620587
70,ordinary,732760,115710,200000,1,0,1831900,1189275,642625
71,ordinary,743228,117363,200000,1,0,1858070,1193408,664662
72,ordinary,753696,119016,200000,1,0,1884240,1197540,686700
73,ordinary,764164,120669,200000,1,0,1910410,1201673,708737
74,ordinary,774632,122322,200000,1,0,1936580,1205805,730775
75,ordinary,785100,123975,200000,1,0,1962750,1209938,752812
76,ordinary,795568,125628,200000,1,0,1988920,1214070,774850
77,ordinary,806036,127281,200000,1,0,2015090,1218203,796887
78,ordinary,816504,128934,200000,1,0,2041260,1222335,818925
79,ordinary,826972,130587,200000,1,0,2067430,1226468,840962
80,ordinary,837440,132240,200000,1,0,2093600,1230600,863000
81,ordinary,847908,133893,200000,1,0,2119770,1234733,885037
82,ordinary,858376,135546,200000,1,0,2145940,1238865,907075
83,ordinary,868844,137199,200000,1,0,2172110,1242998,929112
84,ordinary,879312,138852,200000,1,0,2198280,1247130,951150
85,ordinary,889780,140505,200000,1,0,2224450,1251263,973187
86,ordinary,900248,142158,200000,1,0,2250620,1255395,995225
87,ordinary,910716,143811,200000,1,0,2276790,1259528,1017262
88,ordinary,921184,145464,200000,1,0,2302960,1263660,1039300
89,ordinary,931652,147117,200000,1,0,2329130,1267793,1061337
90,rehydration,942120,159238,300000,1,1,2355300,1698095,657205
91,ordinary,952588,160891,300000,1,1,2381470,1702228,679242
92,ordinary,963056,162544,300000,1,1,2407640,1706360,701280
93,ordinary,973524,164197,300000,1,1,2433810,1710493,723317
94,ordinary,983992,165850,300000,1,1,2459980,1714625,745355
95,ordinary,994460,167503,300000,1,1,2486150,1718758,767392
96,ordinary,1004928,169156,300000,1,1,2512320,1722890,789430
97,ordinary,1015396,170809,300000,1,1,2538490,1727023,811467
98,ordinary,1025864,172462,300000,1,1,2564660,1731155,833505
99,ordinary,1036332,174115,300000,1,1,2590830,1735288,855542
100,ordinary,1046800,175768,300000,1,1,2617000,1739420,877580
101,ordinary,1057268,177421,300000,1,1,2643170,1743553,899617
102,ordinary,1067736,179074,300000,1,1,2669340,1747685,921655
103,ordinary,1078204,180727,300000,1,1,2695510,1751818,943692
104,ordinary,1088672,182380,300000,1,1,2721680,1755950,965730
105,ordinary,1099140,184033,300000,1,1,2747850,1760083,987767
106,ordinary,1109608,185686,300000,1,1,2774020,1764215,1009805
107,ordinary,1120076,187339,300000,1,1,2800190,1768348,1031842
108,ordinary,1130544,188992,300000,1,1,2826360,1772480,1053880
109,ordinary,1141012,190645,300000,1,1,2852530,1776613,1075917
110,ordinary,1151480,192298,300000,1,1,2878700,1780745,1097955
111,ordinary,1161948,193951,300000,1,1,2904870,1784878,1119992
112,ordinary,1172416,195604,300000,1,1,2931040,1789010,1142030
113,ordinary,1182884,197257,300000,1,1,2957210,1793143,1164067
114,ordinary,1193352,198910,300000,1,1,2983380,1797275,1186105
115,ordinary,1203820,200563,300000,1,1,3009550,1801408,1208142
116,ordinary,1214288,202216,300000,1,1,3035720,1805540,1230180
117,ordinary,1224756,203869,300000,1,1,3061890,1809673,1252217
118,ordinary,1235224,205522,300000,1,1,3088060,1813805,1274255
119,ordinary,1245692,207175,300000,1,1,3114230,1817938,1296292
120,ordinary,1256160,208828,300000,1,1,3140400,1822070,1318330
